"Algorithm","n","k","Average Swaps","Average Compares","c/n","s/n"
"Dual Pivot Quick Sort","500","10","10018.29999999999927240423858165740966796875","2078.09999999999990905052982270717620849609375","20.0366","4.1562"
"Dual Pivot Quick Sort","500","100","9980.079999999999927240423858165740966796875","2063.8000000000001818989403545856475830078125","19.96016","4.1276"
"Dual Pivot Quick Sort","600","1","11096","2077","18.493333333333332","3.4616666666666664"
"Dual Pivot Quick Sort","600","10","12249.79999999999927240423858165740966796875","2500.6999999999998181010596454143524169921875","20.41633333333333","4.167833333333333"
"Dual Pivot Quick Sort","600","100","12532.969999999999345163814723491668701171875","2566.15000000000009094947017729282379150390625","20.888283333333334","4.276916666666667"
"Dual Pivot Quick Sort","700","1","13444","2464","19.205714285714286","3.52"
"Dual Pivot Quick Sort","700","10","14471.70000000000072759576141834259033203125","2988.5","20.673857142857145","4.269285714285714"
"Dual Pivot Quick Sort","700","100","14850.04999999999927240423858165740966796875","3046.48000000000001818989403545856475830078125","21.214357142857143","4.352114285714285"
"Dual Pivot Quick Sort","800","1","15238","3160","19.0475","3.95"
"Dual Pivot Quick Sort","800","10","17881.79999999999927240423858165740966796875","3517.8000000000001818989403545856475830078125","22.352249999999998","4.3972500000000005"
"Dual Pivot Quick Sort","800","100","17712.86999999999898136593401432037353515625","3610.63999999999987267074175179004669189453125","22.141087499999998","4.5133"
"Dual Pivot Quick Sort","900","1","17545","3463","19.494444444444444","3.847777777777778"
"Dual Pivot Quick Sort","900","10","20323.4000000000014551915228366851806640625","4105.5","22.581555555555557","4.5616666666666665"
"Dual Pivot Quick Sort","900","100","20381.22999999999956344254314899444580078125","4069.739999999999781721271574497222900390625","22.64581111111111","4.521933333333333"
"Dual Pivot Quick Sort","1000","1","23331","4228","23.331","4.228"
"Dual Pivot Quick Sort","1000","10","22090.9000000000014551915228366851806640625","4421.8000000000001818989403545856475830078125","22.0909","4.4218"
"Dual Pivot Quick Sort","1000","100","23108.919999999998253770172595977783203125","4618.420000000000072759576141834259033203125","23.108919999999998","4.61842"
"Hybrid Sorting Algorithm","100","1","1069","394","10.69","3.94"
"Hybrid Sorting Algorithm","100","10","1308.5","438.5","13.085","4.385"
"Hybrid Sorting Algorithm","100","100","1300.15000000000009094947017729282379150390625","416.3700000000000045474735088646411895751953125","13.0015","4.1637"
"Hybrid Sorting Algorithm","200","1","2491","752","12.455","3.76"
"Hybrid Sorting Algorithm","200","10","3084.40000000000009094947017729282379150390625","928.6000000000000227373675443232059478759765625","15.422","4.643"
"Hybrid Sorting Algorithm","200","100","3232.42999999999983629095368087291717529296875","996.80999999999994543031789362430572509765625","16.16215","4.98405"
"Hybrid Sorting Algorithm","300","1","4758","1251","15.86","4.17"
"Hybrid Sorting Algorithm","300","10","5277","1539.59999999999990905052982270717620849609375","17.59","5.132"
"Hybrid Sorting Algorithm","300","100","5320.40999999999985448084771633148193359375","1614.51999999999998181010596454143524169921875","17.7347","5.381733333333333"
"Hybrid Sorting Algorithm","400","1","6913","1724","17.2825","4.31"
"Hybrid Sorting Algorithm","400","10","7434.399999999999636202119290828704833984375","2228.3000000000001818989403545856475830078125","18.586","5.57075"
"Hybrid Sorting Algorithm","400","100","7592.5","2314.989999999999781721271574497222900390625","18.98125","5.787475"
"Hybrid Sorting Algorithm","500","1","9388","2786","18.776","5.572"
"Hybrid Sorting Algorithm","500","10","9600.399999999999636202119290828704833984375","2786","19.2008","5.572"
"Hybrid Sorting Algorithm","500","100","9969.95000000000072759576141834259033203125","3010.4600000000000363797880709171295166015625","19.9399","6.02092"
"Hybrid Sorting Algorithm","600","1","11676","3473","19.46","5.788333333333333"
"Hybrid Sorting Algorithm","600","10","12614.899999999999636202119290828704833984375","3745.59999999999990905052982270717620849609375","21.024833333333333","6.242666666666667"
"Hybrid Sorting Algorithm","600","100","12585.72999999999956344254314899444580078125","3743.010000000000218278728425502777099609375","20.976216666666666","6.2383500000000005"
"Hybrid Sorting Algorithm","700","1","13745","4591","19.635714285714286","6.558571428571429"
"Hybrid Sorting Algorithm","700","10","14727.20000000000072759576141834259033203125","4418.1999999999998181010596454143524169921875","21.038857142857143","6.311714285714285"
"Hybrid Sorting Algorithm","700","100","14904.25","4401.760000000000218278728425502777099609375","21.291785714285716","6.288228571428572"
"Hybrid Sorting Algorithm","800","1","14821","4269","18.52625","5.33625"
"Hybrid Sorting Algorithm","800","10","17373.4000000000014551915228366851806640625","5087.100000000000363797880709171295166015625","21.71675","6.358875"
"Hybrid Sorting Algorithm","800","100","17812.0699999999997089616954326629638671875","5204.3699999999998908606357872486114501953125","22.2650875","6.5054625"
"Hybrid Sorting Algorithm","900","1","18361","5535","20.40111111111111","6.15"
"Hybrid Sorting Algorithm","900","10","20838.29999999999927240423858165740966796875","5975.5","23.153666666666666","6.639444444444444"
"Hybrid Sorting Algorithm","900","100","20364.7099999999991268850862979888916015625","5951.420000000000072759576141834259033203125","22.627455555555553","6.612688888888889"
"Hybrid Sorting Algorithm","1000","1","21294","5643","21.294","5.643"
"Hybrid Sorting Algorithm","1000","10","23421.70000000000072759576141834259033203125","6399.600000000000363797880709171295166015625","23.4217","6.3996"
"Hybrid Sorting Algorithm","1000","100","23042.18999999999869032762944698333740234375","6653.0500000000001818989403545856475830078125","23.042189999999998","6.65305"
